RA,DEC,z,M500
0.03,8.274,0.0396,0.7373
0.103,-2.625,0.0379,0.3297
0.412,-15.681,0.1246,1.6557
0.488,12.073,0.2033,2.6927
0.799,-6.086,0.232,5.2188
0.801,-35.927,0.049,1.2016
0.961,2.063,0.0924,1.7342
1.247,11.701,0.0761,1.3009
1.344,16.211,0.1164,2.4929
1.513,-34.724,0.1147,2.7122
1.591,10.868,0.1698,2.9941
2.237,41.177,0.1537,2.8963
2.444,-35.275,0.05,0.8728
2.836,-28.855,0.062,2.0611
2.928,-15.389,0.378,7.2
2.935,32.417,0.1073,3.3785
3.409,-19.502,0.094,2.1818
3.577,-66.077,0.1599,3.4455
3.578,-30.383,0.3066,7.3614
3.583,8.9,0.163,2.7218
3.85,-23.845,0.0645,0.9884
3.983,16.249,0.083,0.9638
4.082,-31.365,0.0805,1.2607
4.189,6.774,0.0833,0.9629
4.39,-35.165,0.0968,1.5291
4.641,16.438,0.5456,7.7847
4.766,-20.438,0.2773,4.7634
4.913,25.291,0.1353,2.3266
5.044,0.092,0.2124,1.3975
5.142,-49.228,0.0711,0.873
5.17,28.675,0.094,2.389
5.179,-25.71,0.141,3.5275
5.4,28.051,0.0948,1.8782
5.514,4.377,0.407,1.0815
5.775,4.354,0.453,1.2496
6.015,-17.076,0.189,2.2757
6.133,33.209,0.226,3.3939
6.372,-12.377,0.5843,4.6232
6.385,-33.047,0.0491,1.2872
6.699,5.024,0.2529,0.8595
6.839,-50.251,0.1448,2.9603
6.957,26.274,0.3668,5.6843
7.164,-23.637,0.112,2.3285
7.256,7.703,0.17,1.653
7.461,13.504,0.251,1.511
7.64,26.304,0.5,2.6037
7.657,-24.181,0.1382,1.6278
8.558,-2.075,0.0822,2.193
8.65,-2.14,0.0812,2.2202
8.859,-20.263,0.352,10.2
8.997,85.221,0.8317,2.1397
9.149,25.744,0.0341,0.4869
9.272,9.153,0.2546,5.9801
9.363,-28.531,0.105,1.3146
9.9,21.239,0.0619,0.7517
10.002,6.818,0.0395,0.9933
10.027,-56.117,0.0277,0.4058
10.114,29.559,0.0712,1.8872
10.293,-23.659,0.112,0.313
10.446,21.414,0.1014,1.9071
10.459,-9.302,0.0555,5.3163
10.536,-28.536,0.1082,3.5046
10.852,-20.621,0.2924,5.3663
10.967,24.402,0.083,2.8014
11.328,-29.401,0.257,1.6259
11.438,-25.262,0.112,0.8427
11.581,85.516,0.6241,2.6212
12.158,-21.247,0.0581,0.9497
12.35,-29.524,0.1084,2.3682
12.452,24.441,0.0815,1.9841
12.747,-9.487,0.199,1.2765
12.797,-48.56,0.1873,2.7638
12.83,-28.519,0.1125,1.5303
13.187,-80.266,0.1141,3.9812
13.512,-28.399,0.292,0.9661
13.999,26.378,0.1971,6.0676
14.015,-37.545,0.163,2.3188
14.076,-1.217,0.0442,2.4747
14.229,-22.231,0.116,0.5389
14.234,-27.67,0.563,1.4312
14.353,-26.281,0.113,1.7267
14.373,30.214,0.123,0.3371
14.45,-66.812,0.0661,1.6195
14.618,-14.427,0.0957,1.1444
14.726,26.951,0.0451,0.8174
15.675,-21.874,0.0569,2.4774
16.146,-24.0,0.1603,2.2394
16.26,2.03,0.1967,3.1424
16.279,33.19,0.08,1.4819
16.395,-24.655,0.23,4.7167
16.709,1.055,0.2537,4.741
16.718,-2.49,0.1909,3.3322
16.746,32.158,0.112,0.7326
16.868,32.462,0.017,0.3972
16.949,54.142,0.1066,3.5609
16.955,-36.727,0.1186,2.0589
17.005,75.978,0.096,2.5121
17.048,2.176,0.0436,0.7263
17.138,-40.35,0.1408,2.2658
17.209,-15.41,0.0533,1.2778
17.23,-15.629,0.097,1.6888
17.501,-45.923,0.0238,0.7103
17.523,13.98,0.0581,0.4079
17.575,19.64,0.317,0.8715
17.742,33.149,0.0177,0.2153
17.903,-38.187,0.122,0.3124
17.925,33.453,0.1173,1.9696
18.036,39.455,0.208,1.1127
18.072,33.038,0.1249,1.4414
18.274,15.517,0.0442,0.7449
18.296,28.471,0.262,1.818
18.476,-31.752,0.0191,0.1144
18.8,0.33,0.045,1.2471
19.049,-15.923,0.0448,0.5
19.165,-3.503,0.081,0.4075
19.402,-22.637,0.207,0.9901
19.46,-54.924,0.251,4.5164
19.546,-26.973,0.2275,4.6241
20.246,-13.858,0.0519,1.6737
20.493,0.357,0.1756,1.8755
20.65,-28.535,0.256,1.4085
20.73,-12.764,0.123,1.4366
20.801,33.461,0.0146,0.3624
20.921,33.261,0.0164,0.6106
21.146,4.014,0.316,0.8423
21.2,9.541,0.0079,0.0268
21.266,8.688,0.0491,1.7624
21.353,1.741,0.0181,0.3697
21.374,1.763,0.0183,0.2683
21.42,-1.407,0.018,0.3981
21.519,-37.977,0.081,0.9159
21.727,19.212,0.0427,0.1177
21.808,-17.771,0.1459,1.9006
22.154,-43.416,0.288,0.7572
22.927,0.562,0.0798,0.8236
22.971,-13.609,0.206,5.1051
23.17,-8.072,0.1489,2.8084
23.228,-42.996,0.0876,0.4501
24.101,-18.2,0.251,0.5044
24.314,-9.203,0.0409,0.9472
24.372,-12.986,0.2143,2.6543
24.485,-12.8,0.2108,3.03
24.915,1.324,0.255,0.8307
24.974,18.169,0.176,0.9316
25.385,-30.578,0.442,2.6969
25.511,21.522,0.2803,4.7601
25.711,20.42,0.271,1.4658
25.739,44.644,0.341,7.6442
26.121,2.21,0.166,0.4944
26.174,-22.229,0.2781,3.6857
26.259,-53.014,0.1168,2.888
26.32,-60.565,0.1805,4.3428
27.507,-39.453,0.373,1.5266
27.687,33.09,0.0363,0.6253
28.141,-28.892,0.413,7.9
28.172,-13.97,0.833,3.2223
28.182,1.016,0.227,4.9286
28.195,36.151,0.0163,1.1891
28.245,37.535,0.2993,4.4682
28.246,-13.753,0.005,0.0434
28.383,-1.312,0.2438,3.7602
28.552,-59.626,0.36,1.412
28.79,33.922,0.0872,1.9872
29.282,41.34,0.081,1.7753
29.351,-5.84,0.1289,2.1808
29.357,32.224,0.0894,1.48
29.618,-1.781,0.1632,2.2867
29.826,0.502,0.386,2.4175
29.956,-8.833,0.405,9.1513
30.069,31.437,0.0168,0.2848
30.434,-2.201,0.196,4.3137
30.449,3.749,0.165,1.2418
30.578,-44.794,0.0616,0.7366
30.583,-1.12,0.0427,0.6177
31.597,15.188,0.248,0.8941
31.625,-14.894,0.1529,2.6016
31.708,-13.153,0.321,1.7606
32.38,19.77,0.0657,1.3447
32.47,-51.272,0.206,0.8467
32.557,-39.548,0.168,0.3093
32.607,-39.496,0.165,0.3685
32.856,-40.287,0.1008,1.6478
33.225,-47.133,0.115,2.0701
33.568,51.747,0.0489,1.4083
33.671,-4.563,0.1393,1.7898
34.08,-48.273,0.1709,2.7225
34.14,-17.791,0.578,2.1474
34.176,-47.823,0.064,1.0075
34.302,-52.747,0.3432,6.8371
35.236,-38.485,0.228,4.3319
35.285,19.974,0.45,2.6087
35.868,-8.87,0.163,0.8132
36.294,-29.474,0.0604,1.1207
36.478,-41.91,0.2195,5.2528
36.803,-28.855,0.2138,2.2917
37.04,28.194,0.0353,0.6596
37.056,-10.096,0.149,0.7165
37.094,23.423,0.305,1.6671
37.343,-33.538,0.0792,1.3623
37.611,18.606,0.799,3.5043
37.681,-33.099,0.076,1.1414
37.947,-4.856,0.1843,2.7463
37.988,1.245,0.0221,0.2351
38.07,-44.347,0.2836,6.1319
38.555,-3.947,0.447,1.1213
39.168,-19.387,0.0907,1.5047
39.372,-26.505,0.2216,3.9543
39.498,-52.413,0.136,1.2327
39.969,-23.343,0.45,1.2985
40.337,-28.657,0.2323,3.6504
40.649,-21.541,0.314,5.0925
41.026,-26.185,0.1362,2.1489
41.303,-46.454,0.0868,1.0754
41.44,9.61,0.147,1.2406
41.511,36.888,0.0488,1.6098
42.008,-3.537,0.1883,4.2465
42.068,-2.279,0.236,5.2314
42.404,-31.188,0.023,0.4469
42.515,19.131,0.122,0.5854
42.572,-21.499,0.207,3.9964
42.824,-20.929,0.325,1.7897
42.87,-24.949,0.1134,1.6735
43.206,-1.274,0.0235,0.4664
43.623,41.572,0.0172,1.8346
43.964,9.313,0.0258,0.3249
44.137,0.103,0.36,3.452
44.288,-23.435,0.5049,6.4762
44.412,6.006,0.0238,0.8012
44.422,-22.154,0.322,5.8788
44.457,13.049,0.0722,4.2452
44.562,-21.091,0.1226,1.5944
44.692,0.212,0.259,0.8451
44.74,13.58,0.0739,5.8488
44.891,0.229,0.194,1.1508
45.188,44.463,0.03,1.9253
45.405,1.92,0.1712,4.0333
45.456,35.835,0.0464,0.9159
45.589,-4.391,0.35,5.5681
45.838,1.926,0.153,3.6105
45.943,-77.869,0.2742,5.1687
46.03,-36.943,0.2192,3.8438
46.103,-7.037,0.135,0.6618
46.126,15.458,0.083,0.6761
46.326,17.473,0.4249,2.1915
46.382,17.167,0.4246,2.3904
46.62,-9.731,0.0342,0.2893
46.767,-28.671,0.2537,5.2091
46.77,-6.481,0.347,3.1062
47.233,26.76,0.356,16.4
47.854,-26.9,0.0685,1.0004
47.899,7.238,0.142,1.8571
48.344,26.407,0.1649,2.0487
48.408,-38.299,0.0833,1.0294
48.582,-45.424,0.0718,1.9792
49.494,-44.239,0.0752,4.3948
49.573,-3.021,0.37,1.5161
49.639,-3.049,0.37,2.8422
49.947,41.513,0.0179,6.1508
50.075,-42.987,0.158,0.8694
50.158,-43.198,0.149,0.7445
50.488,-51.326,0.0696,0.9545
50.553,-53.178,0.0797,1.1966
50.578,-41.36,0.0643,1.4238
50.585,-49.312,0.067,0.3708
50.748,-13.637,0.334,1.6041
50.998,-19.276,0.332,2.0738
51.977,2.563,0.0302,0.2346
52.15,-21.668,0.59,2.7751
52.156,-55.713,0.0853,2.4368
52.423,-2.196,0.45,4.4622
52.503,-52.596,0.0624,2.0786
52.78,-21.003,0.188,4.0524
52.998,-45.407,0.0671,0.2155
53.056,-29.177,0.15,1.0869
53.273,-39.23,0.245,0.4682
53.292,-24.945,0.475,2.4442
53.515,-39.014,0.0623,0.3519
53.734,-53.702,0.0619,0.9158
54.078,-40.622,0.1729,4.295
54.095,-3.792,0.1595,3.0382
54.206,-28.081,0.105,1.0571
54.25,-39.82,0.103,1.6881
54.437,-25.378,0.585,1.038
54.549,-22.94,0.173,0.6947
54.616,-35.448,0.0051,0.1855
54.67,9.974,0.0347,3.4496
54.851,-33.219,0.269,1.7212
55.036,-55.054,0.0464,0.6987
55.048,-18.587,0.0056,0.0568
55.113,-28.672,0.068,0.9209
55.174,-2.666,0.0352,0.7946
55.205,-45.705,0.0698,1.2015
55.215,-28.386,0.346,2.1352
55.321,15.407,0.0311,1.1301
55.488,-45.003,0.408,0.4727
