RA,DEC,z,M500
229.19051197148607,-1.0172220494487687,0.1198,3.9624107
203.55868280030043,20.255990465994852,0.171,5.1223907
316.08448460651397,-41.354168768162545,0.1651,5.297053
307.9728436744915,-40.59872538732375,0.3416,6.333562
291.3596104116613,-36.517943550953035,-1.0,0.0
349.632431259767,-36.33255896419884,0.14,2.8352966
210.99331740842618,15.68842667454395,0.18051805,3.5104008
334.65947324641854,-38.87940564666152,0.1411,4.411132
235.01517594833925,-3.285135268536924,0.1533,5.7360168
292.01476819114833,-35.87609336413605,-1.0,0.0
358.35121492947206,-33.29324444565804,-1.0,0.0
316.4675076936199,-38.75316015084461,0.1521,4.716204
338.6080936252315,-37.741318366956456,0.151,7.194754
233.27333645391985,-0.6754161514834653,0.15127213,3.592052
221.86513190155767,8.45169010958117,0.38,7.122818
289.26673013929354,-33.54156644850409,0.54,10.356931
299.80686989876637,-34.891777678522246,0.1728,4.2864923
244.40612029193994,-7.262465137296187,0.2523,5.5150366
350.53751949516834,-34.57521351135824,-1.0,0.0
218.3080282883521,12.486271265458669,0.23571162,4.813953
227.72895004094468,5.768101486423719,0.0766,7.039484
308.70593263941464,-35.825081401757494,0.0894,4.1666827
243.95488007172725,-6.152363252610378,0.203,16.116468
307.71099199595375,-35.56412760874977,0.1398,3.1525736
227.75523905616382,6.022011073937684,0.07572769,1.8444157
306.88606038274224,-34.79652965407507,0.55,6.273721
318.17957903525536,-36.08439707479425,-1.0,0.0
310.439291044507,-35.18775835093837,0.089462,2.6386087
344.6782280821871,-34.78824519454517,0.312,7.745729
334.4436413899886,-35.7155680610281,0.1486,4.7919583
304.2413268782846,-33.32638003469048,-1.0,0.0
308.6595073802657,-34.06151381158282,0.0936,2.9755213
3.5590614752886665,-30.387616021066002,0.3066,9.835684
244.58601314380869,-4.189299423318617,-1.0,0.0
335.13356054493823,-35.13759854599787,0.1544,4.0210757
288.94238147627686,-26.994796945452578,-1.0,0.0
343.38621664668716,-33.73886261820937,0.224,4.0705013
230.47689844554677,7.673745978091962,0.0442,1.8696855
354.05385028252704,-32.13431322927361,-1.0,0.0
312.45046889224164,-32.29986705114024,0.323,5.3740325
342.97603694410446,-33.39418142720743,-1.0,0.0
292.97822793509636,-26.566636238413114,0.352,6.9744377
230.76738854887205,8.607394902830666,0.0355,1.8981508
356.85261337200467,-31.150862430219583,-1.0,0.0
321.56633808139543,-32.02544578059911,0.323033,4.810649
240.85614198925373,3.3223744257506964,0.2222,4.7257686
221.9786505098561,14.769364434914522,0.21983355,4.3659105
341.6334404145062,-32.20111554323177,-1.0,0.0
303.07718434625536,-26.705429128347145,0.149,3.2601829
351.1688846581034,-30.65106965899271,-1.0,0.0
328.7492675027851,-30.13246735779467,-1.0,0.0
311.99570839284434,-27.019505898211307,-1.0,0.0
338.7121482291814,-30.541864466193516,0.2515,4.868449
303.7003492992976,-24.510511656343272,0.1612,5.092264
300.8655664232373,-23.391512812836012,0.3171,8.991968
5.254294922676838,-28.621724038644654,-1.0,0.0
255.57753575625074,-1.0240250662534338,0.089,3.968832
290.7770613647855,-19.39917647526413,-1.0,0.0
340.6369626168417,-30.31504625637989,-1.0,0.0
256.60669310766536,-1.503281717879069,0.0912,3.6031713
309.27813172189326,-25.592982941711508,-1.0,0.0
249.12273340762076,3.147637401696334,0.28,6.6494083
2.82232368204026,-28.868827767426254,0.062,2.6063693
244.06748030147224,6.913714986303364,0.33280623,5.477802
313.0083369859018,-25.482615900188545,-1.0,0.0
324.4985052749286,-27.727017922048518,-1.0,0.0
243.8319244384712,7.570925181535165,0.3451334,5.6525307
305.10248379064075,-22.44790203972058,-1.0,0.0
243.98219762134258,7.859833968070728,0.3815,6.1657724
248.1988722413949,5.592188582176107,0.1514,7.788315
319.8962352672342,-26.20172511054577,0.38,5.8107996
262.15230146131677,-1.2175533501491103,-1.0,0.0
315.5511137611443,-24.572872646134545,0.188,3.7313237
261.0687147772152,0.4154681680636107,0.4044,6.790033
260.19544051854706,0.9684971900822598,-1.0,0.0
196.473107906554,26.526183666471095,0.3063,5.0330496
292.4921502557687,-15.193525410560644,0.0829,2.369741
291.39601420243486,-14.2055305184567,-1.0,0.0
258.8351714288444,3.171823425706188,0.1647,4.505844
295.5950787598223,-15.435756024383723,-1.0,0.0
319.03940793059814,-23.19402521184155,-1.0,0.0
0.09024612288385998,-28.10026277448705,-1.0,0.0
356.9603375795869,-28.142585668448522,0.03,1.4802928
324.6775049640849,-23.984932874356705,-1.0,0.0
303.427767907946,-17.02519961341766,-1.0,0.0
337.6571827357,-26.266352311568042,-1.0,0.0
316.84284134452037,-21.184006693794945,0.202,5.409047
266.2912276558384,2.2181935107391806,-1.0,0.0
259.1370903099557,5.964182524251815,-1.0,0.0
266.66116492471764,2.191050648618064,-1.0,0.0
270.8407059048534,0.4326642155935166,-1.0,0.0
328.246440303994,-23.552286428276012,-1.0,0.0
324.28750328026086,-22.513255393364393,-1.0,0.0
266.7671927157378,2.7115199943368182,-1.0,0.0
350.20879691452325,-27.02998024640516,-1.0,0.0
257.97912871229926,7.3229711018504835,0.284,6.629104
271.0559615078539,0.6584936747688487,0.0882,3.2859874
288.421636691013,-8.140585426291077,-1.0,0.0
235.0331728899251,17.898661580776395,0.0916,3.2491348
312.06144705809277,-17.808966087468985,0.1475,4.514435
225.09048345816484,21.359432374286722,0.153,4.5426245
240.58675330206924,16.091271772845097,0.0353,3.5270348
339.6533438672872,-24.936306218965722,-1.0,0.0
326.4342608419447,-21.780223996771788,-1.0,0.0
297.1337387732155,-10.527757259530315,-1.0,0.0
297.54584132511513,-10.641856809205924,-1.0,0.0
296.91301939542495,-9.92821246115799,-1.0,0.0
273.441656572457,2.331401524627774,-1.0,0.0
250.84410493501287,13.38533477011459,0.1819,3.7135267
352.6812052086401,-26.171285973667153,-1.0,0.0
299.41897625053207,-9.898972404877552,-1.0,0.0
205.47093028630565,26.368440614935725,0.0724,2.7183177
295.8916172146357,-7.462413943523269,-1.0,0.0
323.6921253499701,-19.130693313849893,-1.0,0.0
219.29791383212955,24.389237526076705,-1.0,0.0
265.12248439214414,8.711237937312733,-1.0,0.0
298.7166444641409,-7.603083209256164,-1.0,0.0
328.0814429068376,-19.612919240880732,0.0943,4.076925
207.2220524618543,26.594595259457805,0.0622,4.4652133
326.31521200634114,-18.75551466167219,-1.0,0.0
357.927359081219,-26.09530292746981,0.2264,7.557539
234.85930317237168,21.78966871845093,0.0411,1.9280213
254.69025040063164,15.3198422943512,0.48,6.264102
341.7593231848669,-22.228248068959232,-1.0,0.0
299.8263339044297,-5.148347537018638,-1.0,0.0
269.98445342766314,10.196411133014687,-1.0,0.0
298.5192032811,-3.839686007538345,-1.0,0.0
271.12936476803253,10.055297005187146,0.1525,5.288359
299.29892897187597,-4.1504136518832295,-1.0,0.0
297.9201624735181,-3.4116348884576837,-1.0,0.0
