Name,RA,DEC,z,M500,MCXC,RedMAPPer,PSZ2(z),MCXCRA,MCXCDEC,matched,ACT,ACTRA,ACTDEC
PSZ2 G000.04+45.13,229.190512,-1.0172219999999998,0.1198,3.962411,True,RMJ151653.9-010506.3,True,229.142,-0.9490000000000001,,False,,
PSZ2 G000.13+78.04,203.5586828,20.2559905,0.171,5.122391,True,RMJ133408.7+201453.0,True,203.52900000000002,20.230999999999998,,True,203.53326235168916,20.23777262872284
PSZ2 G000.40-41.86,316.08448460000005,-41.3541688,0.1651,5.297053,True,                    ,True,316.084,-41.349,,True,316.0828186791305,-41.34945641299781
PSZ2 G000.77-35.69,307.9728437,-40.59872539999999,0.3416,6.3335620000000015,True,                    ,True,307.965,-40.62,,True,307.96665211423834,-40.62320384604896
PSZ2 G002.08-68.28,349.6324313,-36.332559,0.14,2.835297,False,                    ,True,,,,True,349.6023269655159,-36.31107953770738
PSZ2 G002.42+69.64,210.99331740000002,15.688426699999999,0.180518,3.5104010000000003,False,RMJ140358.9+154409.6,True,,,,False,,
PSZ2 G002.77-56.16,334.6594732,-38.87940560000001,0.1411,4.411132,True,                    ,True,334.668,-38.897,,True,334.6603511447862,-38.89522711863096
PSZ2 G002.82+39.23,235.0151759,-3.2851352999999994,0.1533,5.7360169999999995,True,                    ,True,235.03099999999998,-3.3080000000000003,,True,235.0440506290148,-3.3123000978888664
PSZ2 G003.91-42.03,316.4675077,-38.7531602,0.1521,4.716204,True,                    ,True,316.518,-38.772,,False,,
PSZ2 G003.93-59.41,338.6080936,-37.741318400000004,0.151,7.194754,True,                    ,True,338.629,-37.735,,True,338.614918522747,-37.743093093606
PSZ2 G004.04+42.23,233.27333650000003,-0.6754161999999999,0.151272,3.592052,False,RMJ153303.5-004616.5,True,,,,False,,
PSZ2 G004.13+56.81,221.86513190000002,8.4516901,0.38,7.122818,True,RMJ144728.1+082859.9,True,221.857,8.464,,True,221.859782450577,8.472503349279522
PSZ2 G004.45-19.55,289.2667301,-33.5415664,0.54,10.356931,False,                    ,True,,,,True,,
PSZ2 G005.91-28.26,299.8068699,-34.8917777,0.1728,4.286492,True,                    ,True,299.79400000000004,-34.91,,False,,
PSZ2 G006.05+29.43,244.40612030000003,-7.2624651,0.2523,5.515037,False,                    ,True,,,,False,,
PSZ2 G006.38+62.03,218.30802830000002,12.4862713,0.23571199999999998,4.813953,False,RMJ143312.4+122756.8,True,,,,True,218.29166666666725,12.470814826105778
PSZ2 G006.49+50.56,227.72895,5.7681015,0.0766,7.039484,True,RMJ151100.1+054658.0,True,227.729,5.72,,True,227.73356513995284,5.744343163357399
PSZ2 G006.68-35.55,308.7059326000001,-35.8250814,0.0894,4.166683,True,                    ,True,308.699,-35.813,,False,,
PSZ2 G006.76+30.45,243.9548801,-6.1523633,0.203,16.116467999999998,True,                    ,True,243.945,-6.146,,False,,
PSZ2 G006.82-34.71,307.710992,-35.5641276,0.1398,3.152574,True,                    ,True,307.7,-35.544000000000004,,True,,
PSZ2 G006.84+50.69,227.75523909999998,6.022011099999999,0.075728,1.844416,False,                    ,True,,,,False,,
PSZ2 G007.57-33.90,306.88606039999996,-34.7965297,0.55,6.273721,False,                    ,True,,,,True,306.91551203612664,-34.798118148841425
PSZ2 G007.76-36.83,310.439291,-35.1877584,0.089462,2.638609,False,                    ,True,,,,True,310.3951062967999,-35.1461799122258
PSZ2 G008.31-64.74,344.67822810000007,-34.78824520000001,0.312,7.745728999999999,False,                    ,True,,,,True,344.70075384928435,-34.799898378602265
PSZ2 G008.47-56.34,334.4436414,-35.71556810000001,0.1486,4.791958,True,                    ,True,334.43,-35.726,,True,334.4372062766284,-35.723209478246716
PSZ2 G008.80-35.18,308.65950739999994,-34.0615138,0.0936,2.975521,True,                    ,True,308.675,-34.074,,False,,
PSZ2 G008.94-81.22,3.5590615,-30.387615999999998,0.3066,9.835684,True,                    ,True,3.5780000000000003,-30.383000000000003,,True,3.5840512734921925,-30.37203770309979
PSZ2 G009.45-56.93,335.1335605,-35.137598499999996,0.1544,4.021076,True,                    ,True,335.144,-35.165,,True,335.13298831570467,-35.16502072920807
PSZ2 G011.06-63.84,343.3862166,-33.7388626,0.22399999999999998,4.070501,True,                    ,True,343.392,-33.724000000000004,,True,343.3875229345598,-33.730234381505426
PSZ2 G011.36+49.42,230.4768984,7.673746,0.0442,1.869686,True,RMJ152151.9+074231.7,True,230.458,7.709,,True,230.45295983247232,7.709559745558812
PSZ2 G011.72-37.96,312.4504689,-32.2998671,0.32299999999999995,5.374032,True,                    ,True,312.48,-32.28,,True,312.4766622095353,-32.284754295275704
PSZ2 G012.59-20.10,292.9782279,-26.566636199999998,0.35200000000000004,6.974438,True,                    ,True,292.957,-26.576,,True,292.9543226704856,-26.573078492687788
PSZ2 G012.81+49.68,230.76738849999998,8.607394900000001,0.0355,1.898151,True,RMJ152305.3+083633.2,True,230.77200000000002,8.602,,True,230.7613689495563,8.588666069956561
PSZ2 G013.74-45.53,321.5663381,-32.0254458,0.323033,4.810649,False,                    ,True,,,,True,321.53524813307894,-32.037314432556016
PSZ2 G014.09+38.38,240.856142,3.3223743999999997,0.2222,4.7257690000000006,False,RMJ160319.0+031644.6,True,,,,True,240.82910529655703,3.2874237122888204
PSZ2 G014.33+60.23,221.9786505,14.7693644,0.219834,4.365911,False,RMJ144756.9+144532.6,True,,,,True,221.98524292235044,14.748416091540287
PSZ2 G015.75-28.66,303.07718430000006,-26.705429100000003,0.149,3.260183,False,                    ,True,,,,False,,
PSZ2 G018.18-60.00,338.7121482,-30.54186450000001,0.2515,4.868449,True,                    ,True,338.723,-30.566,,True,338.7212512039756,-30.56057090304846
PSZ2 G018.32-28.50,303.7003493,-24.5105117,0.1612,5.092264,True,                    ,True,303.707,-24.508000000000003,,True,303.7116827463941,-24.506039348970518
PSZ2 G018.54-25.69,300.8655664,-23.3915128,0.3171,8.991968,True,                    ,True,300.877,-23.385,,True,300.8785891783197,-23.392198572097215
PSZ2 G018.73+23.56,255.5775358,-1.0240251,0.08900000000000001,3.968832,False,                    ,True,,,,False,,
PSZ2 G018.84+22.43,256.6066931,-1.5032816999999998,0.0912,3.603171,True,                    ,True,256.611,-1.54,,False,,
PSZ2 G019.12+31.23,249.12273340000002,3.1476374,0.28,6.649408,False,                    ,True,,,,True,249.12328938986852,3.1464107466771667
PSZ2 G019.48-80.97,2.8223237,-28.8688278,0.062,2.606369,True,                    ,True,2.8360000000000003,-28.855,,True,,
PSZ2 G020.08+37.47,244.06748030000003,6.913715,0.332806,5.477802,False,RMJ161610.2+065504.4,True,,,,True,244.04146947688255,6.917992175409558
PSZ2 G020.66+37.99,243.8319244,7.5709252000000005,0.34513299999999997,5.652531,False,RMJ161505.4+073455.4,True,,,,True,243.77511695601132,7.584448420903097
PSZ2 G021.08+38.00,243.98219759999998,7.8598339999999975,0.3815,6.1657720000000005,False,RMJ161556.0+074819.1,True,,,,False,,
PSZ2 G021.10+33.24,248.1988722,5.5921886,0.1514,7.788314999999999,True,                    ,True,248.19400000000002,5.57,,True,248.1965884510516,5.577603421628232
PSZ2 G021.36-43.02,319.8962353,-26.2017251,0.38,5.8108,False,                    ,True,,,,True,319.9072143893715,-26.197180732585252
PSZ2 G022.12-38.81,315.55111380000005,-24.572872600000004,0.188,3.731324,True,                    ,True,315.541,-24.531,,True,315.5499870872925,-24.529203709140297
PSZ2 G022.98+19.49,261.0687148,0.41546819999999995,0.4044,6.790033,False,                    ,True,,,,False,,
PSZ2 G023.17+86.71,196.4731079,26.5261837,0.3063,5.03305,True,RMJ130558.9+263048.4,True,196.507,26.505,,False,,
PSZ2 G023.40-15.26,292.4921503,-15.193525400000002,0.0829,2.369741,True,                    ,True,292.507,-15.163,,True,,
PSZ2 G024.44+22.76,258.83517140000004,3.1718234,0.1647,4.5058440000000015,True,                    ,True,258.803,3.1630000000000003,,True,258.7959508221373,3.1560919730201267
PSZ2 G025.13-75.88,356.9603376,-28.1425857,0.03,1.480293,True,                    ,True,356.93,-28.141,,True,,
PSZ2 G026.73-38.94,316.8428413000001,-21.184006699999998,0.20199999999999999,5.409047,False,                    ,True,,,,True,316.86067497785666,-21.179740617671264
PSZ2 G028.05+25.43,257.9791287,7.3229710999999975,0.284,6.629103999999999,False,                    ,True,,,,False,,
PSZ2 G028.08+10.79,271.0559615,0.6584937,0.0882,3.2859870000000004,True,                    ,True,271.045,0.706,,False,,
PSZ2 G028.63+50.15,235.03317290000004,17.8986616,0.0916,3.249135,True,RMJ154018.0+175304.2,True,235.03799999999998,17.878,,True,235.00472746752288,17.93571518786541
