mpp_er,PSZ2,MCXC,ACT,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.0,1.0,0.6166666666666667,0.2824427480916031,0.15928369462770972,0.20717131474103587,156,1.0,0.0650730411686587,49,0.4207920792079208,174,0.23107569721115537,753
0.05,1.0,0.6166666666666667,0.2824427480916031,0.15928369462770972,0.20717131474103587,156,1.0,0.0650730411686587,49,0.4207920792079208,174,0.23107569721115537,753
0.1,1.0,0.6166666666666667,0.2824427480916031,0.15928369462770972,0.20717131474103587,156,1.0,0.0650730411686587,49,0.4207920792079208,174,0.23107569721115537,753
0.15,1.0,0.6166666666666667,0.2824427480916031,0.15928369462770972,0.20717131474103587,156,1.0,0.0650730411686587,49,0.4207920792079208,174,0.23107569721115537,753
0.2,1.0,0.6166666666666667,0.2824427480916031,0.15928369462770972,0.20717131474103587,156,1.0,0.0650730411686587,49,0.4207920792079208,174,0.23107569721115537,753
0.25,1.0,0.6166666666666667,0.2824427480916031,0.15928369462770972,0.20717131474103587,156,1.0,0.0650730411686587,49,0.4207920792079208,174,0.23107569721115537,753
0.3,1.0,0.5833333333333334,0.25190839694656486,0.13760603204524033,0.24767225325884543,133,1.0,0.09124767225325885,49,0.39603960396039606,150,0.27932960893854747,537
0.35,1.0,0.55,0.2366412213740458,0.1234684260131951,0.28743961352657005,119,1.0,0.11835748792270531,49,0.3811881188118812,136,0.3285024154589372,414
0.4,0.9666666666666667,0.5333333333333333,0.22137404580152673,0.11027332704995288,0.32608695652173914,105,1.0,0.15217391304347827,49,0.36633663366336633,119,0.3695652173913043,322
0.45,0.9666666666666667,0.5166666666666667,0.20610687022900764,0.10367577756833177,0.3769230769230769,98,1.0,0.18846153846153846,49,0.35148514851485146,112,0.4307692307692308,260
0.5,0.9333333333333333,0.5,0.19083969465648856,0.0942507068803016,0.4251207729468599,88,0.98,0.2318840579710145,48,0.33663366336633666,99,0.4782608695652174,207
0.55,0.9333333333333333,0.4666666666666667,0.16030534351145037,0.08388312912346843,0.47878787878787876,79,0.98,0.2909090909090909,48,0.3118811881188119,90,0.5454545454545454,165
0.6,0.9166666666666666,0.45,0.13740458015267176,0.07445805843543826,0.5255474452554745,72,0.98,0.35036496350364965,48,0.29207920792079206,83,0.6058394160583942,137
0.65,0.8166666666666667,0.45,0.1297709923664122,0.06691800188501414,0.5565217391304348,64,0.9,0.3826086956521739,44,0.26732673267326734,72,0.6260869565217392,115
0.7,0.7833333333333333,0.43333333333333335,0.11450381679389313,0.061262959472196045,0.6236559139784946,58,0.88,0.46236559139784944,43,0.2524752475247525,64,0.6881720430107527,93
0.8,0.7166666666666667,0.35,0.09923664122137404,0.049010367577756835,0.7377049180327869,45,0.8,0.639344262295082,39,0.21782178217821782,51,0.8360655737704918,61
0.9,0.6,0.2833333333333333,0.07633587786259542,0.03581526861451461,0.7804878048780488,32,0.66,0.8048780487804879,33,0.17326732673267325,38,0.926829268292683,41
0.95,0.38333333333333336,0.2,0.061068702290076333,0.022620169651272386,0.8695652173913043,20,0.44,0.9565217391304348,22,0.11386138613861387,23,1.0,23
