s/n,PSZ2,MCXC,ACT,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.0,0.9482758620689655,0.5,0.28353658536585363,0.9622641509433962,0.09444444444444444,51,0.30548302872062666,116,0.21481481481481482,540
5.05335105,0.9310344827586207,0.5,0.2804878048780488,0.9433962264150944,0.09727626459143969,50,0.3002610966057441,114,0.22178988326848248,514
5.1069375,0.9310344827586207,0.5,0.2804878048780488,0.9433962264150944,0.10224948875255624,50,0.3002610966057441,114,0.2331288343558282,489
5.1630591,0.9310344827586207,0.5,0.2682926829268293,0.9433962264150944,0.10706638115631692,50,0.2898172323759791,110,0.23554603854389722,467
5.223298,0.9137931034482759,0.4852941176470588,0.2652439024390244,0.9245283018867925,0.1111111111111111,49,0.2845953002610966,108,0.24489795918367346,441
5.29437,0.9137931034482759,0.4852941176470588,0.2652439024390244,0.9245283018867925,0.11666666666666667,49,0.2845953002610966,108,0.2571428571428571,420
5.3639328,0.9137931034482759,0.47058823529411764,0.25609756097560976,0.9245283018867925,0.12596401028277635,49,0.2741514360313316,104,0.26735218508997427,389
5.43414885,0.9137931034482759,0.47058823529411764,0.25,0.9245283018867925,0.1331521739130435,49,0.2689295039164491,102,0.27717391304347827,368
5.5157134,0.9137931034482759,0.4411764705882353,0.25,0.9245283018867925,0.14497041420118342,49,0.26370757180156656,100,0.2958579881656805,338
5.60974235,0.9137931034482759,0.4264705882352941,0.24085365853658536,0.9245283018867925,0.15605095541401273,49,0.25326370757180156,96,0.3057324840764331,314
5.711204,0.9137931034482759,0.4264705882352941,0.24085365853658536,0.9245283018867925,0.1678082191780822,49,0.25326370757180156,96,0.3287671232876712,292
5.8320221,0.9137931034482759,0.4264705882352941,0.2347560975609756,0.9245283018867925,0.18490566037735848,49,0.24804177545691905,94,0.35471698113207545,265
5.9664762,0.9137931034482759,0.4117647058823529,0.22560975609756098,0.9245283018867925,0.2076271186440678,49,0.2402088772845953,91,0.3855932203389831,236
6.12062285,0.896551724137931,0.4117647058823529,0.21341463414634146,0.9245283018867925,0.23671497584541062,49,0.2297650130548303,87,0.42028985507246375,207
6.2958075,0.8793103448275862,0.4117647058823529,0.2073170731707317,0.9245283018867925,0.2737430167597765,49,0.2245430809399478,84,0.4692737430167598,179
6.52273275,0.8275862068965517,0.39705882352941174,0.19207317073170732,0.8679245283018868,0.3006535947712418,46,0.20887728459530025,78,0.5098039215686274,153
6.826352,0.8103448275862069,0.39705882352941174,0.17378048780487804,0.8679245283018868,0.36220472440944884,46,0.19321148825065274,72,0.5669291338582677,127
7.2506403,0.7758620689655172,0.38235294117647056,0.13719512195121952,0.8301886792452831,0.4782608695652174,44,0.1618798955613577,61,0.6630434782608695,92
8.0152959,0.6551724137931034,0.29411764705882354,0.10365853658536585,0.7169811320754716,0.6551724137931034,38,0.1174934725848564,45,0.7758620689655172,58
10.0664315,0.46551724137931033,0.25,0.07317073170731707,0.5094339622641509,0.9642857142857143,27,0.0731070496083551,28,1.0,28
10.5,0.4482758620689655,0.22058823529411764,0.07317073170731707,0.49056603773584906,1.0,26,0.06788511749347259,26,1.0,26
12.0,0.3275862068965517,0.16176470588235295,0.054878048780487805,0.3584905660377358,1.0,19,0.04960835509138381,19,1.0,19
